arquivo,data_hora,atividade,distancia_km,ritmo_medio,tempo_usado,calorias_kcal,passos,cadencia_media_step_min,passada_media_cm
recorte_1745978618905.jpg,2025-04-02 19:43,Corrida,4.0,"07'03""",00:28:13,426.0,3889.0,137.0,102.0
recorte_1745978798762.jpg,2025-03-13 21:08,Corrida,4.02,"06'38""",00:26:40,428.0,3675.0,137.0,109.0
recorte_1746062633722.jpg,2024-11-14 17:10,Corrida,2.51,"08'30""",00:21:23,267.0,1890.0,88.0,132.0
recorte_1746062640789.jpg,2024-11-23 18:29,Corrida,3.21,"09'19""",00:29:56,342.0,1436.0,47.0,223.0
recorte_1746062688002.jpg,2024-12-06 16:19,Corrida,3.08,"07'53""",00:24:21,328.0,372.0,15.0,828.0
recorte_1746062693597.jpg,2024-12-12 20:54,Corrida,3.42,"07'44""",00:26:31,365.0,2031.0,76.0,168.0
recorte_1746062699820.jpg,2024-12-15 19:27,Corrida,8.1,"08'09""",01:06:00,863.0,5597.0,84.0,144.0
recorte_1746062708753.jpg,2024-12-17 18:23,Corrida,6.76,"10'17""",01:09:35,720.0,3643.0,52.0,185.0
recorte_1746062714557.jpg,2024-12-19 18:07,Corrida,5.04,"07'09""",00:36:08,538.0,2178.0,60.0,231.0
recorte_1746062720083.jpg,2024-12-27 11:24,Corrida,3.33,"08'29""",00:28:19,355.0,1578.0,55.0,211.0
recorte_1746062733349.jpg,2024-12-29 09:37,Corrida,4.02,"07'05""",00:28:32,429.0,1809.0,63.0,222.0
recorte_1746062769398.jpg,2025-01-01 09:57,Corrida,3.01,"06'58""",00:20:58,320.0,1409.0,67.0,213.0
recorte_1746062774779.jpg,2025-01-06 17:20,Corrida,3.08,"07'22""",00:22:42,328.0,1170.0,51.0,263.0
recorte_1746062780774.jpg,2025-01-10 08:15,Corrida,2.96,"08'01""",00:23:46,316.0,1160.0,48.0,255.0
recorte_1746062786962.jpg,2025-01-13 17:42,Corrida,3.0,"07'26""",00:22:22,320.0,2453.0,109.0,122.0
recorte_1746062796920.jpg,2025-01-15 12:42,Corrida,3.0,"06'56""",00:20:50,320.0,1250.0,60.0,239.0
recorte_1746062804697.jpg,2025-01-17 18:43,Corrida,2.67,"09'14""",00:24:41,284.0,1506.0,61.0,177.0
recorte_1746062812909.jpg,2025-01-19 10:09,Corrida,3.5,"07'29""",00:26:13,373.0,1619.0,61.0,216.0
recorte_1746062828409.jpg,2025-01-21 07:33,Corrida,3.51,"07'04""",00:24:53,374.0,2709.0,108.0,129.0
recorte_1746062835287.jpg,2025-01-23 18:04,Corrida,3.06,"07'07""",00:21:46,325.0,2897.0,133.0,105.0
